ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Elusimicrobia (641853)	8	27	78	7	3	2817	83	28	7	48	23	71	46	3	13	4	43	4603	19	8	32	16	503	3	53	16	12	20	16	3	17	28	61	40	18	9	31	19	67	5	33	83	619	42	7	95	5	17	12	3	47	5951	29	19	15
Aquificae (187857)	4	9	34	4	5	19	90	73	17	19	3	53	18	23	8	10	32	21	10	14	14	21	77	12	33	10	16	48	8	5	16	12	19	24	22	7	5	33	33	43	25	33	54	14	29	14	12	12	2	212	57	34	11	7	22
Thermotogae (188708)	51	71	218	23	29	120	180	107	85	114	24	143	45	144	104	33	213	82	86	56	80	128	442	28	89	105	137	147	99	16	62	129	289	139	121	82	178	62	112	118	119	247	240	69	60	77	92	105	29	39	177	181	73	75	132
Deferribacteres (68337)	14	47	42	17	6	56	100	81	6	39	4	77	25	8	19	42	63	21	34	25	41	58	109	10	45	63	24	213	14	6	35	32	64	49	22	17	16	20	46	34	46	33	112	112	28	27	31	18	7	6	69	64	18	19	29
Chrysiogenetes (118001)	1	6	23	1	1	6	8	10	1	5	0	9	5	2	25	2	11	6	9	15	6	10	6	1	4	1	1	2	8	2	1	6	36	4	7	6	8	3	4	1	15	9	29	6	3	2	7	7	4	1	1	14	7	12	2
Thermodesulfobacteria (67799)	6	6	10	4	8	14	23	19	5	2	7	13	15	2	0	3	12	11	9	5	4	15	21	4	12	3	3	52	15	6	7	14	20	17	0	9	12	10	2	19	10	25	45	13	11	31	3	5	34	3	29	8	11	11	7
Spirochaetia	328	437	1974	282	249	40697	1756	1532	628	1087	153	2195	1137	436	901	423	1682	1535	805	704	919	533	68772	337	2294	1301	817	14796	551	164	1092	1393	1674	10784	655	592	1132	441	11572	1660	1610	1832	90033	966	682	1121	827	1066	229	842	2059	3049	623	627	1054
Synergistia	55	173	3064	47	32	141	4738	174	43	159	31	10864	146	30	171	57	418	144	1378	148	556	46	498	17	209	93	9269	104	90	74	154	241	440	474	1468	57	260	42	184	123	459	228	1967	172	124	57	308	104	1366	41	2450	169	135	156	159
Calditrichae	4	0	41	1	0	5	7	1	1	7	0	21	2	0	3	3	9	6	15	4	5	0	6	2	0	3	3	1	0	1	2	5	8	5	1	1	2	3	3	3	8	2	16	11	3	8	1	3	0	0	21	5	0	2	7
Coprothermobacteria	0	0	0	0	0	5	0	2	0	0	0	1	0	0	0	2	4	0	1	0	0	0	2	0	2	0	1	15	0	0	0	0	1	0	1	0	0	0	0	0	5	3	2	1	0	5	0	0	0	0	4	2	0	0	1
