sample_name	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	awigen_id
soweto_30	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CIJ0I
soweto_31	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CQMOC
soweto_32	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CRCOS
soweto_33	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CRXON
soweto_34	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CSK0E
soweto_35	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CVQON
soweto_36	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CWIOI
soweto_37	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CWQ0Q
soweto_38	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CXCOE
soweto_39	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DBGOS
soweto_40	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DBT0G
soweto_41	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DCGOV
soweto_42	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DDPOG
soweto_43	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DDWOM
soweto_44	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DDZ0Q
soweto_45	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DEROK
soweto_46	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DGEOC
soweto_47	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DGV05
soweto_48	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DHHOH
soweto_49	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CBP0Y
soweto_50	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DSE0B
soweto_51	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CGQ0K
