species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	site	rank
Clostridium sp. AM45-5	802.406005677194	-0.433403496843305	0.157602529108519	-2.74997805742622	0.00595992555448197	0.0133493535482308	Bushbuckridge	species
Roseburia sp. 40_7	389.003561682449	-0.432371716528457	0.210975563740598	-2.04939239816453	0.0404237599899098	0.0725953322895717	Bushbuckridge	species
Butyricicoccus sp. AM27-36	1303.98255427575	-0.429373218494911	0.152097729421323	-2.82300873345396	0.00475752756163377	0.010938709204211	Bushbuckridge	species
Subdoligranulum variabile	2064.83133481033	-0.427212045356198	0.165773356711398	-2.57708508671842	0.00996374207873656	0.0207834757449935	Bushbuckridge	species
Bacillus thuringiensis	325.08859166481	-0.423448966332332	0.363227388377394	-1.16579580692954	0.243697012936862	0.348056674947472	Bushbuckridge	species
Oscillospiraceae bacterium UBA3295	455.730648226079	-0.418495289514741	0.263435056535236	-1.58860895364078	0.112148705499072	0.175902491570897	Bushbuckridge	species
Oscillibacter sp.	69884.765271686	-0.415270491605596	0.183992820375257	-2.25699291286825	0.024008517616765	0.045827579224454	Bushbuckridge	species
Barnesiella sp.	4708.60871439621	-0.411481670364667	0.431195143989995	-0.95428178192613	0.339941027238538	0.444707335202139	Bushbuckridge	species
Clostridiaceae bacterium AM27-36LB	473.976178780711	-0.405698895216433	0.184959739330182	-2.19344435002796	0.0282753799354283	0.0529727025333486	Bushbuckridge	species
Firmicutes bacterium CAG:24053_14	4896.72766115225	-0.403676444188562	0.186012431600682	-2.17015841745	0.0299948469823861	0.0555087564582572	Bushbuckridge	species
Clostridium sp. AF02-29	933.693299196881	-0.403349160089608	0.183071373364647	-2.20323446902977	0.0275782270290067	0.0519875273497114	Bushbuckridge	species
Roseburia sp. CAG:18_43_25	1958.3514431487	-0.40311283476972	0.404987211518417	-0.995371763118965	0.319555486659539	0.425373202636711	Bushbuckridge	species
Faecalibacterium prausnitzii	259591.218644218	-0.400959934424887	0.212117069171002	-1.89027660994903	0.058720975331866	0.101548809192144	Bushbuckridge	species
Clostridiales bacterium AM23-16LB	1744.82466152335	-0.400710191345092	0.190880620432145	-2.09927121170239	0.0357929996633986	0.064854778494576	Bushbuckridge	species
Oscillospiraceae bacterium UBA3851	759.320080656131	-0.398604487436435	0.261305171103877	-1.52543665995028	0.127150220753602	0.196387236634698	Bushbuckridge	species
Ruminococcus sp. CAG:108-related_41_35	773.000858235692	-0.398361997724373	0.256592930391289	-1.55250574174781	0.120541259928305	0.188093945440825	Bushbuckridge	species
Bacteroidales bacterium UBA2914	531.907771368532	-0.391100882689494	0.390902870308564	-1.00050655136089	0.317065428751616	0.42298618736754	Bushbuckridge	species
Dorea formicigenerans	2519.83227882082	-0.390451263429382	0.148690555827711	-2.62593183041027	0.00864121214943477	0.0184042658761646	Bushbuckridge	species
Paraprevotella clara	3185.48957159454	-0.38736147668095	0.392935072914259	-0.985815477880426	0.324223669085565	0.428766377200301	Bushbuckridge	species
Butyricicoccus sp. AM28-25	1602.56456638416	-0.379141481254235	0.166847325659655	-2.27238572602374	0.0230632230852801	0.0443018240910286	Bushbuckridge	species
Klebsiella variicola	1708.4804478294	-0.376320535104384	0.471569173436858	-0.798017674399094	0.424860233559072	0.537271170354909	Bushbuckridge	species
Prevotella sp. UBA2822	28264.5064539427	-0.373361489674752	0.405300782138348	-0.921196074937022	0.35694806715027	0.46099463140471	Bushbuckridge	species
Haemophilus parainfluenzae	3291.26507618202	-0.371514988022638	0.358742734658042	-1.03560282099307	0.300387475375322	0.4088233128987	Bushbuckridge	species
Roseburia sp. CAG:18	2330.05966512256	-0.370427929752981	0.410279041889643	-0.902868272400371	0.366595811303161	0.471448426824193	Bushbuckridge	species
